FIPS_COUNT,Year,Class,Percentage,County
39031,1938,Developed,1.820424482,Coshocton
39015,1938,Developed,0.396146134,Brown
39071,1938,Developed,0.683538828,Highland
39075,1938,Developed,0.540571299,Holmes
39079,1938,Developed,1.762114537,Jackson
39081,1938,Developed,4.565537555,Jefferson
39083,1938,Developed,0.792782941,Knox
39121,1938,Developed,0.560591603,Noble
39125,1938,Developed,0.593317972,Paulding
39131,1938,Developed,0.674096222,Pike
39149,1938,Developed,0.775558167,Shelby
39113,1938,Developed,14.73979433,Montgomery
39109,1938,Developed,2.020023557,Miami
39017,1938,Developed,4.67217744,Butler
39107,1938,Developed,0.912287855,Mercer
39135,1938,Developed,0.565834889,Preble
39001,1938,Developed,0.440456098,Adams
39137,1938,Developed,0.727453911,Putnam
39003,1938,Developed,2.639070098,Allen
39139,1938,Developed,2.200028948,Richland
39141,1938,Developed,0.90554472,Ross
39007,1938,Developed,1.880504642,Ashtabula
39145,1938,Developed,1.25342734,Scioto
39009,1938,Developed,1.266723598,Athens
39147,1938,Developed,1.283450474,Seneca
39011,1938,Developed,1.494867023,Auglaize
39013,1938,Developed,2.517264424,Belmont
39151,1938,Developed,7.939280516,Stark
39173,1938,Developed,1.454008242,Wood
39039,1938,Developed,0.897331313,Defiance
39041,1938,Developed,1.097741186,Delaware
39043,1938,Developed,3.544374825,Erie
39123,1938,Developed,2.259938283,Ottawa
39127,1938,Developed,2.392372485,Perry
39019,1938,Developed,1.621000423,Carroll
39163,1938,Developed,0.756077702,Vinton
39165,1938,Developed,1.054689815,Warren
39067,1938,Developed,2.621216574,Harrison
39129,1938,Developed,0.695701897,Pickaway
39143,1938,Developed,1.885025173,Sandusky
39153,1938,Developed,15.29668562,Summit
39021,1938,Developed,1.071829405,Champaign
39023,1938,Developed,4.497148004,Clark
39025,1938,Developed,0.907564789,Clermont
39085,1938,Developed,7.625704152,Lake
39087,1938,Developed,2.13338966,Lawrence
39091,1938,Developed,1.266542597,Logan
39093,1938,Developed,3.933352878,Lorain
39095,1938,Developed,21.38286032,Lucas
39097,1938,Developed,0.908715407,Madison
39101,1938,Developed,1.857381749,Marion
39103,1938,Developed,1.654401278,Medina
39105,1938,Developed,0.630298974,Meigs
39111,1938,Developed,0.559396274,Monroe
39115,1938,Developed,0.291812096,Morgan
39117,1938,Developed,0.331753555,Morrow
39119,1938,Developed,2.364464856,Muskingum
39175,1938,Developed,0.615858353,Wyandot
39047,1938,Developed,0.788148148,Fayette
39051,1938,Developed,0.823557294,Fulton
39053,1938,Developed,0.809094633,Gallia
39055,1938,Developed,0.573082831,Geauga
39057,1938,Developed,3.558161133,Greene
39063,1938,Developed,1.686485509,Hancock
39065,1938,Developed,0.712820513,Hardin
39069,1938,Developed,0.914108313,Henry
39159,1938,Developed,0.723876886,Union
39161,1938,Developed,0.98806093,Van Wert
39167,1938,Developed,1.678801826,Washington
39033,1938,Developed,1.605751947,Crawford
39169,1938,Developed,1.563582814,Wayne
39035,1938,Developed,47.39331511,Cuyahoga
39037,1938,Developed,0.909712998,Darke
39171,1938,Developed,1.049090598,Williams
39027,1938,Developed,1.029661265,Clinton
39061,1938,Developed,35.79070447,Hamilton
39049,1938,Developed,17.37722373,Franklin
39005,1938,Developed,0.950172502,Ashland
39077,1938,Developed,1.08002919,Huron
39155,1938,Developed,3.995598391,Trumbull
39133,1938,Developed,1.431032832,Portage
39157,1938,Developed,4.414125201,Tuscarawas
39099,1938,Developed,11.93436666,Mahoning
39029,1938,Developed,3.162786501,Columbiana
39045,1938,Developed,1.508968397,Fairfield
39089,1938,Developed,1.653676006,Licking
39073,1938,Developed,0.649609664,Hocking
39059,1938,Developed,1.278655585,Guernsey
39031,1938,Forest,26.07715537,Coshocton
39015,1938,Forest,26.13097276,Brown
39071,1938,Forest,18.55072464,Highland
39075,1938,Forest,22.55035848,Holmes
39079,1938,Forest,34.32690657,Jackson
39081,1938,Forest,48.60677467,Jefferson
39083,1938,Forest,19.32294514,Knox
39121,1938,Forest,33.93964695,Noble
39125,1938,Forest,5.743087558,Paulding
39131,1938,Forest,45.28948084,Pike
39149,1938,Forest,7.038777908,Shelby
39113,1938,Forest,10.98473045,Montgomery
39109,1938,Forest,6.802120141,Miami
39017,1938,Forest,23.4533039,Butler
39107,1938,Forest,3.93965649,Mercer
39135,1938,Forest,11.33933118,Preble
39001,1938,Forest,48.63129297,Adams
39137,1938,Forest,5.311410065,Putnam
39003,1938,Forest,6.310046258,Allen
39139,1938,Forest,22.03888648,Richland
39141,1938,Forest,27.22555029,Ross
39007,1938,Forest,42.4660795,Ashtabula
39145,1938,Forest,46.83509597,Scioto
39009,1938,Forest,34.0734415,Athens
39147,1938,Forest,6.609333392,Seneca
39011,1938,Forest,4.988893558,Auglaize
39013,1938,Forest,37.43372689,Belmont
39151,1938,Forest,16.95154918,Stark
39173,1938,Forest,4.334810668,Wood
39039,1938,Forest,10.45332712,Defiance
39041,1938,Forest,15.95946802,Delaware
39043,1938,Forest,14.96305995,Erie
39123,1938,Forest,9.103285533,Ottawa
39127,1938,Forest,27.09990641,Perry
39019,1938,Forest,26.12351055,Carroll
39163,1938,Forest,44.49226474,Vinton
39165,1938,Forest,23.4994371,Warren
39067,1938,Forest,33.94651778,Harrison
39129,1938,Forest,7.724197084,Pickaway
39143,1938,Forest,7.177145533,Sandusky
39153,1938,Forest,30.17979206,Summit
39021,1938,Forest,8.327721661,Champaign
39023,1938,Forest,8.658060642,Clark
39025,1938,Forest,39.42923093,Clermont
39085,1938,Forest,30.53411225,Lake
39087,1938,Forest,54.33278766,Lawrence
39091,1938,Forest,12.18465674,Logan
39093,1938,Forest,17.86866022,Lorain
39095,1938,Forest,16.22148024,Lucas
39097,1938,Forest,3.335398596,Madison
39101,1938,Forest,5.022694697,Marion
39103,1938,Forest,14.19932683,Medina
39105,1938,Forest,52.61044177,Meigs
39111,1938,Forest,40.04432952,Monroe
39115,1938,Forest,32.45408251,Morgan
39117,1938,Forest,12.26895735,Morrow
39119,1938,Forest,26.02346525,Muskingum
39175,1938,Forest,7.810741991,Wyandot
39047,1938,Forest,3.668148148,Fayette
39051,1938,Forest,7.382391279,Fulton
39053,1938,Forest,46.57414994,Gallia
39055,1938,Forest,38.48517074,Geauga
39057,1938,Forest,10.86022754,Greene
39063,1938,Forest,4.883121581,Hancock
39065,1938,Forest,4.774358974,Hardin
39069,1938,Forest,4.587788893,Henry
39159,1938,Forest,6.139139084,Union
39161,1938,Forest,3.052402517,Van Wert
39167,1938,Forest,40.68359301,Washington
39033,1938,Forest,7.052127022,Crawford
39169,1938,Forest,11.001386,Wayne
39035,1938,Forest,21.68383435,Cuyahoga
39037,1938,Forest,4.431831904,Darke
39171,1938,Forest,10.41678545,Williams
39027,1938,Forest,8.898379454,Clinton
39061,1938,Forest,34.3525285,Hamilton
39049,1938,Forest,11.09977375,Franklin
39005,1938,Forest,21.59945704,Ashland
39077,1938,Forest,10.69326198,Huron
39155,1938,Forest,31.44494194,Trumbull
39133,1938,Forest,33.91404231,Portage
39157,1938,Forest,31.1227507,Tuscarawas
39099,1938,Forest,27.65570885,Mahoning
39029,1938,Forest,31.68651868,Columbiana
39045,1938,Forest,17.70428016,Fairfield
39089,1938,Forest,16.42791939,Licking
39073,1938,Forest,42.95401447,Hocking
39059,1938,Forest,30.69686729,Guernsey
39031,1938,Agriculture,70.76262175,Coshocton
39015,1938,Agriculture,72.95935834,Brown
39071,1938,Agriculture,80.5277958,Highland
39075,1938,Agriculture,76.34573802,Holmes
39079,1938,Agriculture,63.4418445,Jackson
39081,1938,Agriculture,45.31369661,Jefferson
39083,1938,Agriculture,79.30107527,Knox
39121,1938,Agriculture,64.16984733,Noble
39125,1938,Agriculture,93.44470046,Paulding
39131,1938,Agriculture,53.62326719,Pike
39149,1938,Agriculture,91.90364277,Shelby
39113,1938,Agriculture,73.83920224,Montgomery
39109,1938,Agriculture,91.06007067,Miami
39017,1938,Agriculture,71.49971762,Butler
39107,1938,Agriculture,91.52438714,Mercer
39135,1938,Agriculture,87.9646919,Preble
39001,1938,Agriculture,50.5083769,Adams
39137,1938,Agriculture,93.78176383,Putnam
39003,1938,Agriculture,90.76028941,Allen
39139,1938,Agriculture,74.70449173,Richland
39141,1938,Agriculture,71.58331011,Ross
39007,1938,Agriculture,51.56935424,Ashtabula
39145,1938,Agriculture,51.36701919,Scioto
39009,1938,Agriculture,64.24708227,Athens
39147,1938,Agriculture,91.96315537,Seneca
39011,1938,Agriculture,92.52566489,Auglaize
39013,1938,Agriculture,58.69013143,Belmont
39151,1938,Agriculture,73.54127677,Stark
39173,1938,Agriculture,93.61247181,Wood
39039,1938,Agriculture,88.0666589,Defiance
39041,1938,Agriculture,81.15368377,Delaware
39043,1938,Agriculture,77.20938932,Erie
39123,1938,Agriculture,79.40642585,Ottawa
39127,1938,Agriculture,69.86429574,Perry
39019,1938,Agriculture,71.21514547,Carroll
39163,1938,Agriculture,54.35617076,Vinton
39165,1938,Agriculture,74.75262191,Warren
39067,1938,Agriculture,61.33411696,Harrison
39129,1938,Agriculture,91.28943105,Pickaway
39143,1938,Agriculture,89.33965578,Sandusky
39153,1938,Agriculture,51.65144466,Summit
39021,1938,Agriculture,90.23569024,Champaign
39023,1938,Agriculture,86.67066947,Clark
39025,1938,Agriculture,59.04417165,Clermont
39085,1938,Agriculture,58.50198206,Lake
39087,1938,Agriculture,43.16945662,Lawrence
39091,1938,Agriculture,84.75496278,Logan
39093,1938,Agriculture,77.19143946,Lorain
39095,1938,Agriculture,57.89510295,Lucas
